Date,Location,Cause,Severity,Point of accident,Source
09/12/2015,Αλφειού και Κισσάβου,STOP sign violation,Only car damages,1,https://vrilissianews.gr/vrilissia/sothike-apo-thavma-parousiastria-tis-ert-sta-vrilissia-pos-perigrafi-i-idia-to-trocheo/
13/02/2016,28ης Οκτωβρίου και Μακεδονίας,Not disclosed,Only car damages,2,https://vrilissianews.gr/vrilissia/sovaro-trocheo-sta-vrilissia/
21/03/2016,28ης Οκτωβρίου και Αγίου Αντωνίου,STOP sign violation,Cars + Minor injuries,3,https://vrilissianews.gr/vrilissia/sovaro-trocheo-proi-tis-defteras-sta-vrilissia/
30/03/2016,Αλφειού και Κισσάβου,STOP sign violation,Only car damages,1,https://vrilissianews.gr/vrilissia/trocheo-stin-diastavrosi-kissavou-ke-alfiou/
04/04/2016,Γ.Γεννηματά (‘Ύψος Α. Τρίτσης),STOP sign violation,Only car damages,4,https://vrilissianews.gr/voreia-proastia/trocheo-atichima-stin-odo-g-gennimata/
6/04/2016,Πεντέλης (Κωτσόβολος),Careless Parking,Only car damages,5,https://vrilissianews.gr/vrilissia/vrilissia-trocheo-mesimeri-tis-tetartis-epi-tis-leoforou-pentelis-photo/
26/04/2016,Πεντέλης και Κισσάβου,Red traffic light violation,Cars + Minor injuries,6,https://vrilissianews.gr/vrilissia/sovaro-trocheo-sti-l-pentelis/
14/05/2016,Σπάρτης,Careless driving,Only car damages,7,https://vrilissianews.gr/vrilissia/vrilissia-trocheo-atichima-stin-odo-spartis-photo/
25/5/2016,Κισσάβου και Μητροπούλου,STOP sign violation,Cars + Minor injuries,8,https://vrilissianews.gr/vrilissia/vrilissia-sovaro-trocheo-enan-travmatia/
26/05/2016,Θερμοπυλών και Μπακογιάννη,STOP sign violation,Only car damages,9,https://vrilissianews.gr/vrilissia/vrilissia-trocheo-atichima-sti-simvoli-ton-odon-thermopilon-ke-bakogianni-photos/
27/05/2016,Πεντέλης (στροφή Α. Παπανδρέου),Careless driving,Only car damages,10,https://vrilissianews.gr/voreia-proastia/trocheo-atichima-stin-leoforo-pentelis/
05/07/2016,Θερμοπυλών και Αναλήψεως,STOP sign violation,Cars + Minor injuries,11,https://vrilissianews.gr/vrilissia/trocheo-mia-gineka-travmatia-sta-vrilissia/
12/07/2016,Θερμοπυλών και Αναλήψεως,STOP sign violation,Cars + Minor injuries,11,https://vrilissianews.gr/vrilissia/vrilissia-trocheo-travmatia-sti-simvoli-thermopilon-ke-analipseos/
24/07/2016,Αναπαύσεως και Αλφειού,Driver felt dizzy,Only car damages,12,https://vrilissianews.gr/vrilissia/vrilissia-ektos-elegchou-tzip-paresire-krouno-ke-karfothike-se-diafimistiki-pinakida/
02/08/2016,Κισσάβου,Driver felt dizzy,Only car damages,13,https://vrilissianews.gr/vrilissia/vrilissia-ich-peresire-stilo-odofotismou-stin-kissavou/
05/08/2016,Αλφειού,Not disclosed,Cars + Minor injuries,14,https://vrilissianews.gr/vrilissia/brilissia-anatropi-ochimatos-stin-alfiou-apo-thavma-sothike-o-odigos/
07/09/2016,Θερμοπυλών και Πάρνηθος,STOP sign violation,Only car damages,15,https://vrilissianews.gr/vrilissia/vrilissia-ta-trochea-epestrepsan-stin-kathimerinotita-tis-polis/
07/09/2016,28ης Οκτωβρίου και Μακεδονίας,STOP sign violation,Only car damages,2,https://vrilissianews.gr/vrilissia/vrilissia-ta-trochea-epestrepsan-stin-kathimerinotita-tis-polis/
09/09/2016,Θερμοπυλών και Κύπρου,STOP sign violation,Only car damages,16,https://vrilissianews.gr/vrilissia/brilissia-trocheo-choris-travmaties-stin-odo-kiprou/
12/09/2016,Αγίου Αντώνιου και Αναλήψεως,Not disclosed,Cars + Minor injuries,17,https://vrilissianews.gr/vrilissia/agio-iche-zevgari-motosikletiston/
09/10/2016,Πεντέλης (ύψος Αττικής Οδού),Vehicle overturning,Cars + Minor injuries,18,https://vrilissianews.gr/voreia-proastia/anatropi-ochimatos-sti-l-pentelis/
10/10/2016,Πεντέλης και 25ης Μαρτίου,Not disclosed,Only car damages,19,https://vrilissianews.gr/vrilissia/brilissia-trocheo-emploki-ich-ke-leoforiou/
18/04/2017,Πεντέλης (ύψος Αττικής Οδού),Not disclosed,Death,18,https://vrilissianews.gr/vrilissia/ekklisi-tis-ikogenias-gia-thanatiforo-trocheo-sti-l-pentelis/
02/03/2017,Σαλαμίνος και Μπακογιάννη,STOP sign violation,Cars + Minor injuries,20,https://vrilissianews.gr/vrilissia/dio-nea-troxaia-atiximata-sta-vrilissia/
14/04/2017,Κρήτης και Ηπείρου,Not disclosed,Only car damages,21,https://vrilissianews.gr/vrilissia/vrilissia-sigkrousi-ich-kritis-ke-ipirou/
